a	mrca_label_tsox	mrca_label_tsox_rdsr	mrca_label_tsox_soxCD
457	3978.17_3978.17	3260.04_3260.04	2552.24_2552.24
458	3847.92_3847.92	3114.47_3114.47	2447.8_2447.8
459	3913.85_3913.85	3034.76_3034.76	2465.84_2465.84
460	3955.62_3955.62	3143.47_3143.47	2595.55_2595.55
461	3859.05_3859.05	3202.84_3202.84	2402.43_2402.43
462	3940.62_3940.62	3031.61_3031.61	2335.71_2335.71
463	3892.35_3892.35	3051.55_3051.55	2117.87_2117.87
464	3876.36_3876.36	3259.69_3259.69	2598.58_2598.58
465	3896.01_3896.01	3015.66_3015.66	2435.29_2435.29
466	3878.2_3878.2	3055.17_3055.17	2411.29_2411.29
467	3874.74_3874.74	3116.94_3116.94	2386.16_2386.16
468	3865.47_3865.47	3002.73_3002.73	2290.17_2290.17
469	3925.77_3925.77	3146.68_3146.68	2381.33_2381.33
470	3952.71_3952.71	3032.9_3032.9	2566.07_2566.07
471	4000.82_4000.82	3305.62_3305.62	2745.82_2745.82
472	3862.2_3862.2	2912.39_2912.39	2221.18_2221.18
473	3857.86_3857.86	3201.72_3201.72	2566.79_2566.79
474	3929.06_3929.06	3105.21_3105.21	2514.57_2514.57
475	3854.94_3854.94	3098.61_3098.61	2457.03_2457.03
476	3963.06_3963.06	3296.91_3296.91	2535.97_2535.97
477	3971.64_3971.64	3028.1_3028.1	2309.04_2309.04
478	3884.07_3884.07	3048.48_3048.48	2331.01_2331.01
479	4013.47_4013.47	3122.69_3122.69	2632.52_2632.52
480	3922.1_3922.1	3095.32_3095.32	2303.07_2303.07
481	4013.94_4013.94	3224.15_3224.15	2586.59_2586.59
482	3940.05_3940.05	3205.71_3205.71	2533.06_2533.06
483	3925.37_3925.37	3249.29_3249.29	2564.83_2564.83
484	3945.78_3945.78	3012.13_3012.13	2371.88_2371.88
485	3863.92_3863.92	3010.49_3010.49	2498.62_2498.62
486	3849.82_3849.82	3111.88_3111.88	2356.91_2356.91
487	3919.64_3919.64	2929.9_2929.9	2255.2_2255.2
488	4027.23_4027.23	3239.89_3239.89	2659.65_2659.65
489	3931.67_3931.67	3224.41_3224.41	2534.4_2534.4
490	3976.19_3976.19	3029.5_3029.5	2448.25_2448.25
491	3967.35_3967.35	3039.45_3039.45	2226.72_2226.72
492	3987.01_3987.01	3099.72_3099.72	2465.23_2465.23
493	3941.66_3941.66	3167.85_3167.85	2303.86_2303.86
494	4038.95_4038.95	3236.15_3236.15	2445.06_2445.06
495	3998.69_3998.69	3104.74_3104.74	2655.08_2655.08
496	3908.61_3908.61	3125.97_3125.97	2486.77_2486.77
497	4001.09_4001.09	3400.72_3400.72	2660.36_2660.36
498	3980.29_3980.29	3016.36_3016.36	2300.54_2300.54
499	3825.76_3825.76	3088.9_3088.9	2387.7_2387.7
500	4005.63_4005.63	3231.33_3231.33	2536.53_2536.53
501	3936.08_3936.08	3228.08_3228.08	2526.03_2526.03
502	3883.65_3883.65	3175.03_3175.03	2481.59_2481.59
503	4028.03_4028.03	3150.73_3150.73	2490.08_2490.08
504	3890.53_3890.53	3005.83_3005.83	2508.43_2508.43
505	3828.48_3828.48	2972.16_2972.16	2347.89_2347.89
506	3861.82_3861.82	3034.36_3034.36	2498.61_2498.61
507	3830.79_3830.79	3050.84_3050.84	2320.87_2320.87
508	3919.57_3919.57	3148.47_3148.47	2355.79_2355.79
509	3935.05_3935.05	3197.8_3197.8	2400.17_2400.17
510	3852.14_3852.14	3148.68_3148.68	2527.06_2527.06
511	4031.56_4031.56	3046.71_3046.71	2480.72_2480.72
512	3860.29_3860.29	3048.05_3048.05	2256.08_2256.08
513	3867.27_3867.27	3152.72_3152.72	2587.13_2587.13
514	3923.79_3923.79	3077.17_3077.17	2267.44_2267.44
515	3905.09_3905.09	3158.2_3158.2	2394.49_2394.49
516	3939.4_3939.4	3076.87_3076.87	2352.36_2352.36
517	4010.02_4010.02	3225.96_3225.96	2587.87_2587.87
518	3905.89_3905.89	3123.81_3123.81	2544.32_2544.32
519	3986.95_3986.95	3142.77_3142.77	2503.42_2503.42
520	3815.79_3815.79	3008.32_3008.32	2262.09_2262.09
521	3820.15_3820.15	3138.64_3138.64	2372.41_2372.41
522	3954.99_3954.99	3242.81_3242.81	2722.07_2722.07
523	3801.11_3801.11	3034.55_3034.55	2282.06_2282.06
524	3944.94_3944.94	3004.25_3004.25	2385.99_2385.99
525	3908.79_3908.79	3035.18_3035.18	2532.03_2532.03
526	3971.74_3971.74	3026.1_3026.1	2440.01_2440.01
527	3767.82_3767.82	2927.72_2927.72	2320.69_2320.69
528	3861.22_3861.22	2921.11_2921.11	2262.02_2262.02
529	3866.31_3866.31	3094.08_3094.08	2340.27_2340.27
530	3879.63_3879.63	3040.85_3040.85	2396.42_2396.42
531	3735.04_3735.04	2952.98_2952.98	2407.8_2407.8
532	3904.37_3904.37	2864.9_2864.9	2132.86_2132.86
533	3970.98_3970.98	3209.32_3209.32	2570.83_2570.83
534	3930.6_3930.6	3103.53_3103.53	2635.21_2635.21
535	3783.46_3783.46	2991.76_2991.76	2406.11_2406.11
536	3984.67_3984.67	3059.56_3059.56	2547.45_2547.45
537	3843.89_3843.89	3039.78_3039.78	2448.18_2448.18
538	3846.04_3846.04	3015.04_3015.04	2352.91_2352.91
539	3750.74_3750.74	2983.39_2983.39	2531.76_2531.76
540	3949_3949	2972.35_2972.35	2277.04_2277.04
541	3828.73_3828.73	2940.24_2940.24	2417.41_2417.41
542	3864.34_3864.34	3058.44_3058.44	2362.37_2362.37
543	3808.88_3808.88	2958.35_2958.35	2288.44_2288.44
544	3860.09_3860.09	3076.72_3076.72	2128.12_2128.12
545	3839.58_3839.58	2878.99_2878.99	2309.93_2309.93
546	3870.3_3870.3	2916.75_2916.75	2419.06_2419.06
547	3848.52_3848.52	2876.49_2876.49	2347.3_2347.3
548	3787.06_3787.06	2967.36_2967.36	2453.17_2453.17
549	3656.41_3656.41	2937.99_2937.99	2234.65_2234.65
550	3876.39_3876.39	3254.79_3254.79	2578.35_2578.35
551	3938.38_3938.38	3165.5_3165.5	2445.03_2445.03
552	4012.23_4012.23	2981.66_2981.66	2353.46_2353.46
553	3876.49_3876.49	3134.02_3134.02	2555.19_2555.19
554	3905.5_3905.5	3023.57_3023.57	2479.59_2479.59
555	3805.78_3805.78	3064.43_3064.43	2341.57_2341.57
556	3935.67_3935.67	3024.74_3024.74	2394.11_2394.11
557	3804.71_3804.71	2829.55_2829.55	2271.4_2271.4
558	3813.57_3813.57	3012.91_3012.91	2357.6_2357.6
559	4005.98_4005.98	3133.99_3133.99	2516.55_2516.55
560	3953.28_3953.28	3115.61_3115.61	2490.22_2490.22
561	3950.17_3950.17	3122.99_3122.99	2268.69_2268.69
562	4027.52_4027.52	3116.09_3116.09	2210.83_2210.83
563	3912.28_3912.28	3149.94_3149.94	2395.88_2395.88
564	3916.2_3916.2	3155.56_3155.56	2436.81_2436.81
565	4009.68_4009.68	3143.64_3143.64	2542.8_2542.8
566	3853.85_3853.85	2883.17_2883.17	2193.62_2193.62
567	3859.36_3859.36	3085.67_3085.67	2436.58_2436.58
568	3799.42_3799.42	2864.63_2864.63	2284.33_2284.33
569	3924.46_3924.46	3310.25_3310.25	2348.1_2348.1
570	3827.88_3827.88	3046.22_3046.22	2426.96_2426.96
571	3859.5_3859.5	3228.96_3228.96	2427.38_2427.38
572	3786.88_3786.88	3032.15_3032.15	2329.02_2329.02
573	3845.96_3845.96	2987.67_2987.67	2277.72_2277.72
574	3951.32_3951.32	3247.97_3247.97	2532.76_2532.76
