acc_ID,Species_Name
acc362,GCF.001457615.1
acc363,GCF.002211785.1
acc364,GCF.000283655.1
acc365,GCA.001443005.1
acc366,GCA.002687745.1
acc367,GCF.000472805.1
acc368,GCA.002703645.1
acc369,GCF.000010325.1
acc370,GCF.900637395.1
acc371,GCF.000316515.1
acc372,GCA.002787155.1
acc373,GCA.001804165.1
acc374,GCA.002457745.1
acc375,GCA.002305585.1
acc376,GCA.004296785.1
acc377,GCA.003645825.1
acc378,GCA.003154195.1
acc379,GCA.001800135.1
acc380,GCA.003176995.1
acc381,GCF.003044035.1
acc382,GCA.001799575.1
acc383,GCA.002067865.1
acc384,GCA.002498725.1
acc385,GCA.003151115.1
acc386,GCA.002433595.1
acc387,GCA.002238855.1
acc388,GCA.003242895.1
acc389,GCA.003602415.1
acc390,GCF.001180105.1
acc391,GCA.003523055.1
acc392,GCF.000621445.1
acc393,GCA.003251535.1
acc394,GCA.001509335.1
acc395,GCA.002728275.1
acc396,GCA.002733715.1
acc397,GCF.000428885.1
acc398,GCA.002501805.1
acc399,GCA.003235715.1
acc400,GCF.000018585.1
acc401,GCA.003282865.1
acc402,GCF.000828835.1
acc403,GCA.000276965.1
acc404,GCF.000174435.1
acc405,GCA.002387735.1
acc406,GCA.003695915.1
acc407,GCF.000021545.1
acc408,GCF.000012645.1
acc409,GCA.005809105.1
acc410,GCA.002504905.1
acc411,GCA.002685965.1
acc412,GCA.002382445.1
acc413,GCF.900215575.1
acc414,GCA.001818315.1
acc415,GCF.002355835.1
acc416,GCA.002694385.1
acc417,GCA.004366205.1
acc418,GCA.002011165.1
acc419,GCF.002787055.1
acc420,GCF.000024465.1
acc421,GCA.003696905.1
acc422,GCA.001508935.1
acc423,GCA.002426575.1
acc424,GCF.900100655.1
acc425,GCF.000737595.1
acc426,GCF.000010065.1
acc427,GCA.000494145.1
acc428,GCA.003388545.1
acc429,GCA.002753565.1
acc430,GCA.002720095.2
acc431,GCA.002424475.1
acc432,GCA.002717625.1
acc433,GCF.000014145.1
acc434,GCA.002433485.1
acc435,GCA.004297825.1
acc436,GCA.002422425.1
acc437,GCF.003003925.1
acc438,GCF.900142285.1
acc439,GCF.003589585.1
acc440,GCF.003175215.1
acc441,GCA.002378645.1
acc442,GCF.000223395.1
acc443,GCA.003561815.1
acc444,GCF.000220175.1
acc445,GCA.004524535.1
acc446,GCF.002109495.1
acc447,GCA.004297235.1
acc448,GCF.003574355.1
acc449,GCA.003450915.1
acc450,GCF.000243335.1
acc451,GCA.001871125.1
acc452,GCA.002408385.1
acc453,GCA.003140895.1
acc454,GCA.005877775.1
acc455,GCA.002782605.1
acc456,GCA.001769385.1
acc457,GCF.004001325.1
acc458,GCF.000018065.1
acc459,GCA.002701785.1
acc460,GCA.003141555.1
acc461,GCA.002343455.1
acc462,GCA.002753745.1
acc463,GCF.000701365.1
acc464,GCA.003265885.1
acc465,GCA.002452515.1
acc466,GCF.000013205.1
acc467,GCA.001771575.1
acc468,GCA.000015805.1
acc469,GCA.003104975.1
acc470,GCA.005191425.1
acc471,GCF.003386795.1
acc472,GCF.000230735.2
acc473,GCA.006226565.1
acc474,GCA.002432945.1
acc475,GCA.002328865.1
acc476,GCF.001931505.1
acc477,GCA.001803565.1
acc478,GCF.000169335.1
acc479,GCF.001870905.1
acc480,GCF.000012885.1
acc481,GCA.003265975.1
acc482,GCF.000404225.1
acc483,GCA.002450905.1
acc484,GCA.001438605.1
acc485,GCF.000022145.1
acc486,GCA.002898535.1
acc487,GCA.003641555.1
acc488,GCA.002780205.1
acc489,GCA.003233235.1
acc490,GCF.900167005.1
acc491,GCA.003144275.1
acc492,GCA.001872735.1
acc493,GCF.000698785.1
acc494,GCF.001179925.1
acc495,GCA.002841695.1
acc496,GCA.001907975.2
acc497,GCA.003567475.1
acc498,GCA.005877225.1
acc499,GCA.000091165.1
acc500,GCF.000011485.1
acc501,GCF.900102465.1
acc502,GCA.003945285.1
acc503,GCF.000195335.1
acc504,GCA.002686945.1
acc505,GCF.000526375.1
acc506,GCA.007280335.1
acc507,GCF.000299235.1
acc508,GCF.004217665.1
acc509,GCA.000204585.1
acc510,GCA.000200715.1
acc511,GCA.002898395.1
acc512,GCF.002761215.1
acc513,GCA.002686265.1
acc514,GCA.002506515.1
acc515,GCF.000334895.1
acc516,GCA.002500665.1
acc517,GCF.900180345.1
acc518,GCF.000259255.1
acc519,GCF.000167195.1
acc520,GCA.002728195.1
acc521,GCA.003225315.1
